﻿KM,KM+M,lat,lon,H3_Res_8,H3_Res_9,H3_Res_10,H3_Res_11,location_name,marea,mcenter,memo
17,17+400.0,25.00367,121.4269,884ba0a08bfffff,894ba0a08afffff,8a4ba0a08ae7fff,8b4ba0a08ae5fff,11,行動北區營運處,新北營運中心,
17,17+500.0,25.003632,121.4259,884ba0a08bfffff,894ba0a08a3ffff,8a4ba0a08a1ffff,8b4ba0a08a19fff,11,行動北區營運處,新北營運中心,
17,17+600.0,25.003625,121.4249,884ba0a08bfffff,894ba0a08a3ffff,8a4ba0a08a17fff,8b4ba0a08a11fff,11,行動北區營運處,新北營運中心,
17,17+700.0,25.003648,121.4239,884ba0a08bfffff,894ba0a08a3ffff,8a4ba0a08a17fff,8b4ba0a08a14fff,11,行動北區營運處,新北營運中心,
17,17+800.0,25.003701,121.423,884ba0a08bfffff,894ba0a08bbffff,8a4ba0a08b8ffff,8b4ba0a08b8cfff,11,行動北區營運處,新北營運中心,
17,17+900.0,25.003784,121.422,884ba0a08bfffff,894ba0a08bbffff,8a4ba0a08b87fff,8b4ba0a08b85fff,11,行動北區營運處,新北營運中心,
17,17+943.4,25.003829,121.4215,884ba0a08bfffff,894ba0a08bbffff,8a4ba0a08b87fff,8b4ba0a08b84fff,11,行動北區營運處,新北營運中心,
18,18+000.0,25.003896,121.421,884ba0a08bfffff,894ba0a08bbffff,8a4ba0a08bb7fff,8b4ba0a08bb5fff,11,行動北區營運處,新北營運中心,
18,18+100.0,25.004034,121.42,884ba0a089fffff,894ba0a0887ffff,8a4ba0a0885ffff,8b4ba0a0885afff,11,行動北區營運處,新北營運中心,
18,18+193.4,25.004172,121.4191,884ba0a089fffff,894ba0a0887ffff,8a4ba0a08857fff,8b4ba0a08853fff,11,行動北區營運處,新北營運中心,
18,18+200.0,25.004181,121.419,884ba0a089fffff,894ba0a0887ffff,8a4ba0a08857fff,8b4ba0a08853fff,11,行動北區營運處,新北營運中心,
18,18+300.0,25.004329,121.4181,884ba0a089fffff,894ba0a0883ffff,8a4ba0a0880ffff,8b4ba0a0880bfff,11,行動北區營運處,新北營運中心,
18,18+400.0,25.004477,121.4171,884ba0a089fffff,894ba0a0883ffff,8a4ba0a0880ffff,8b4ba0a0880efff,11,行動北區營運處,新北營運中心,
18,18+500.0,25.004625,121.4161,884ba0a089fffff,894ba0a0883ffff,8a4ba0a08807fff,8b4ba0a08806fff,11,行動北區營運處,新北營運中心,
18,18+600.0,25.004773,121.4151,884ba0a089fffff,894ba0a0883ffff,8a4ba0a08837fff,8b4ba0a08830fff,11,行動北區營運處,新北營運中心,
18,18+700.0,25.004921,121.4141,884ba0a089fffff,894ba0a089bffff,8a4ba0a089affff,8b4ba0a089a8fff,11,行動北區營運處,新北營運中心,
18,18+800.0,25.005069,121.4132,884ba0a089fffff,894ba0a089bffff,8a4ba0a089a7fff,8b4ba0a089a1fff,11(迴龍隧道)**,行動北區營運處,新北營運中心,延伸段
18,18+900.0,25.005217,121.4122,884ba0a0c7fffff,894ba0a0c67ffff,8a4ba0a0c64ffff,8b4ba0a0c64afff,11(迴龍隧道)**,行動北區營運處,新北營運中心,延伸段
19,19+000.0,25.005365,121.4112,884ba0a0c7fffff,894ba0a0c67ffff,8a4ba0a0c647fff,8b4ba0a0c65cfff,11(迴龍隧道)**,行動北區營運處,新北營運中心,延伸段
19,19+071.5,25.00547,121.4105,884ba0a0c7fffff,894ba0a0c67ffff,8a4ba0a0c657fff,8b4ba0a0c655fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,北口
19,19+100.0,25.005513,121.4102,884ba0a0c7fffff,894ba0a0c67ffff,8a4ba0a0c677fff,8b4ba0a0c673fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
19,19+200.0,25.005661,121.4093,884ba0a0c7fffff,894ba0a0c63ffff,8a4ba0a0c677fff,8b4ba0a0c676fff,12(迴龍隧道)**,行動北區營運處,新北營運中心,
